,positive,neutral,negative
480,works.,"Very weak power, does not turn into a glass of milk","connection one on five attemps
Poor product"
481,"Charges, for this money norms",Vibration when rotating. You need to bend a little... Medium...,They don't bring a pile and the lid doesn't close well.
482,Norms,"Worked exactly a week and broke down tried with new batteries, did not help. And so beat quickly and well. But not long, unfortunately","The order did not receive, the money was returned."
483,The goods is not bad,"It is not quite what was waiting, very small, and does not do much milk foam.","When is connect to my phone, is not tracking anything but my phone"
484,"Well-looking design, easy accessible, nice blue indicators, quite speed charging, two USB-outputs",Does not twist shit when immersed in coffee!!! Expected more! Sorry for negative feedback!!! Return is not required-just disappointed!,I have not received the item until now What is the problem
485,"In general, everything works, went to the parcel for a long time Tulu, contacted the seller, explained that because of the cowboy the parcel will be delayed, while everything is working,.","By immersing it only in low water its intensity, I didn't quite like it","Disapointed. The aplication for the key not working ok.  The product loose signal from the connected phone, even he is very close. The aplication hasn t all functions like in the user manual of the key"
486,"IML-Courier, delivered from Russia in 2 days to Kazan .. in the program even the seller did not have time to form an order. I'm a little worried about that. Consider the number then do not know the order, the seller did not tell me and in the program, too, no. Logistics is ahead of the store in general. Thank you all! Powerbank is a worker.","expected better, have to hold button whole time to work. no click system.","no battery only one keyfinder, in pic. loks like to."
487,"The belbank came in a box, locked with reliable packaging. Charged at 80/. The parcel was sent instantly, came to Ukraine with a new mail in 3 weeks, despite the new year holidays in China. Purchase and seller is happy.","Very weak. OK for a little bit of milk, but not able to whisk one egg.",The seller never shipped the order.
488,"Fast! So quickly, not one purchase did not come for all years. Beautiful, it works.",It is very difficult to open the lid and find the screwdriver of the right diameter. The goods have been waiting for 40 days...,He returned to seller. I received no product
489,Ordered 26.01.21 courier delivered home 12.02.21,Too bad it is not a switch On/off but a button especially since it is capricious (does not work very well),i could not get the battery
490,"In fact, the goods are good at their own money. Seller respect! Delivery blah long, but tried to deliver somehow quickly. I advise everyone! Very cheap and you can say the budget version of portable charging. So far, everything is fine.","It's not bad for the price but it comes without batteries. In addition, the box came broken and little protected","Goods not delivered,"
491,The goods came on time. Neatly packed. Thank you seller. Recommend.,This mixer is quit a battery monster. New batteries are empty with one use. Too bad!,Never received
492,"The parcel was well packed. The battery was fully charged. Everything works, I'm happy with the purchase. Thank you)","It doesn't have much strength, for price it's fine, but it doesn't have the strength to beat an egg. Just to make some foaming in the milk",Parcel not delivered
493,"Came in good condition. And the defense of the product took care. I, at the moment, Davolna. There were no problems, came on time. Thank you for the goods.
I did not communicate with the sales.","Power like a fork and a hand, something that does not work, in places runs at a high speed, but once you lower the milk again does not work.",I do not know what it is and can not connect.
